canonical_institution_id,institution_name,state,county,yield_class,combined_identity_status,public_eligibility,nppes_status,nppes_npi,nppes_org_name,nppes_confidence,cms_status,cms_facility_id,cms_facility_name,cms_city,cms_hospital_type,cms_confidence,official_source_url,packet_path,source,identity_id,identity_name,identity_confidence
ME-androscoggin-001,Central Maine Medical Center / Central Maine Healthcare,ME,Androscoggin,OPPORTUNITY_FOUND,NPPES_ONLY_CAMPUS_MATCH,PUBLIC_SAFE_AFTER_REVIEW,LIKELY_CAMPUS_MATCH,1689653487,CENTRAL MAINE MEDICAL CENTER,0.95,,,,,,,https://www.cmhc.org/,,NPPES,1689653487,CENTRAL MAINE MEDICAL CENTER,0.95
ME-aroostook-001,Northern Light A.R. Gould Hospital (Presque Isle),ME,Aroostook,NOT_FOUND,RESOLVED_BY_CMS_BRIDGE,PUBLIC_SAFE_AFTER_REVIEW,NO_NPPES_MATCH,,,0.0,VERIFIED_CMS_CCN_ADDRESS_BRIDGE,200018,NORTHERN LIGHT  A R GOULD HOSPITAL,PRESQUE ISLE,Acute Care Hospitals,1.0,,,NPPES,,,0.0
ME-aroostook-001,Northern Light A.R. Gould Hospital (Presque Isle),ME,Aroostook,NOT_FOUND,RESOLVED_BY_CMS_BRIDGE,PUBLIC_SAFE_AFTER_REVIEW,NO_NPPES_MATCH,,,0.0,VERIFIED_CMS_CCN_ADDRESS_BRIDGE,200018,NORTHERN LIGHT  A R GOULD HOSPITAL,PRESQUE ISLE,Acute Care Hospitals,1.0,,,CMS,200018,NORTHERN LIGHT  A R GOULD HOSPITAL,1.0
ME-cumberland-001,Maine Medical Center,ME,Cumberland,OPPORTUNITY_FOUND,NPPES_ONLY_CAMPUS_MATCH,PUBLIC_SAFE_AFTER_REVIEW,LIKELY_CAMPUS_MATCH,1376847343,MAINE MEDICAL CENTER,0.95,,,,,,,https://www.mainehealth.org/maine-medical-center,p97-institution-packets/ME/Cumberland/maine-medical-center-mmc.json,NPPES,1376847343,MAINE MEDICAL CENTER,0.95
ME-cumberland-002,Maine Track Program (Tufts/MMC),ME,Cumberland,NOT_FOUND,MEDICAL_SCHOOL_NO_HOSPITAL,INTERNAL_ONLY,REJECTED_NAME_ONLY,1376829598,"MAINE MOBILE HEALTH PROGRAM, INC.",0.465,CMS_NO_MATCH,,,,,0.0,https://medicine.tufts.edu/academics/medicine/maine-track-md,p97-institution-packets/ME/Cumberland/maine-track-program-tufts-mmc.json,NPPES,1376829598,"MAINE MOBILE HEALTH PROGRAM, INC.",0.465
ME-franklin-001,Franklin Memorial Hospital (MaineHealth),ME,Franklin,NOT_FOUND,NPPES_ONLY_CAMPUS_MATCH,PUBLIC_SAFE_AFTER_REVIEW,LIKELY_CAMPUS_MATCH,1255434049,FRANKLIN MEMORIAL HOSPITAL,0.95,,,,,,,,,NPPES,1255434049,FRANKLIN MEMORIAL HOSPITAL,0.95
ME-hancock-001,Maine Coast Memorial / Mount Desert Island Hospital,ME,Hancock,NOT_FOUND,RESOLVED_BY_CMS_BRIDGE,PUBLIC_SAFE_AFTER_REVIEW,REJECTED_NAME_ONLY,1952717084,MAINE COAST ORAL SURGERY,0.473,VERIFIED_CMS_CCN_ADDRESS_BRIDGE,200050,NORTHERN LIGHT MAINE COAST HOSPITAL,ELLSWORTH,Acute Care Hospitals,1.0,,,NPPES,1952717084,MAINE COAST ORAL SURGERY,0.473
ME-hancock-001,Maine Coast Memorial / Mount Desert Island Hospital,ME,Hancock,NOT_FOUND,RESOLVED_BY_CMS_BRIDGE,PUBLIC_SAFE_AFTER_REVIEW,REJECTED_NAME_ONLY,1952717084,MAINE COAST ORAL SURGERY,0.473,VERIFIED_CMS_CCN_ADDRESS_BRIDGE,200050,NORTHERN LIGHT MAINE COAST HOSPITAL,ELLSWORTH,Acute Care Hospitals,1.0,,,CMS,200050,NORTHERN LIGHT MAINE COAST HOSPITAL,1.0
ME-kennebec-001,MaineGeneral Medical Center,ME,Kennebec,NOT_FOUND,NPPES_ONLY_CAMPUS_MATCH,PUBLIC_SAFE_AFTER_REVIEW,LIKELY_CAMPUS_MATCH,1669423380,MAINEGENERAL MEDICAL CENTER,0.95,,,,,,,https://www.mainegeneral.org/,,NPPES,1669423380,MAINEGENERAL MEDICAL CENTER,0.95
ME-kennebec-002,Togus VA Medical Center,ME,Kennebec,OPPORTUNITY_FOUND,NPPES_ONLY_CAMPUS_MATCH,PUBLIC_SAFE_AFTER_REVIEW,LIKELY_CAMPUS_MATCH,1679768568,TOGUS VA MEDICAL CENTER,0.95,,,,,,,https://www.va.gov/maine-health-care/locations/togus-va-medical-center/,,NPPES,1679768568,TOGUS VA MEDICAL CENTER,0.95
