row_id,institution_name,source_url,archive_url,archive_status,archive_captured_this_sprint,failure_reason,notes
promo3-06-FL-jackson-memorial-hospital,Jackson Memorial Hospital,https://med.miami.edu/medical-education/visiting-students,https://web.archive.org/web/20240826155747/https://med.miami.edu/medical-education/visiting-students,ARCHIVE_PRIOR_VERIFIED,NO,n/a,Prior April 2024 Wayback HEAD-verified in prior sprint; SPN attempt today returned 520
promo3-09-NC-duke-university-hospital,Duke University Hospital,https://medschool.duke.edu/education/health-professions-education-programs/student-services/office-registrar/visiting-students,https://web.archive.org/web/20260509220256/https://medschool.duke.edu/education/health-professions-education-programs/student-services/office-registrar/visiting-students,ARCHIVE_PRIOR_VERIFIED,NO,n/a,Sprint-fresh archive landed in prior curator-pass sprint
promo3-10-IL-northwestern-memorial-hospital,Northwestern Memorial Hospital,https://www.feinberg.northwestern.edu/md-education/visiting-students/index.html,https://web.archive.org/web/20260509220322/https://www.feinberg.northwestern.edu/md-education/visiting-students/index.html,ARCHIVE_PRIOR_VERIFIED,NO,n/a,Sprint-fresh archive landed prior
promo3-11-PA-hospital-of-the-university-of-pennsylvania,Hospital of the University of Pennsylvania,https://www.med.upenn.edu/student/application-and-dates.html,https://web.archive.org/web/20260509220355/https://www.med.upenn.edu/student/application-and-dates.html,ARCHIVE_PRIOR_VERIFIED,NO,n/a,Sprint-fresh archive landed prior
promo3-12-NY-nyu-langone-health-tisch-hospital,NYU Langone Health - Tisch Hospital,https://med.nyu.edu/education/md-degree/registration-student-records/information-visiting-md-students,https://web.archive.org/web/20260509220418/https://med.nyu.edu/education/md-degree/registration-student-records/information-visiting-md-students,ARCHIVE_PRIOR_VERIFIED,NO,n/a,Sprint-fresh archive landed prior
promo3-17-TX-methodist-hospital-san-antonio,Methodist Hospital (San Antonio),https://hcahealthcaregme.com/locations/methodist-hospital/,https://web.archive.org/web/20260509220452/https://hcahealthcaregme.com/locations/methodist-hospital/,ARCHIVE_PRIOR_VERIFIED,NO,n/a,Sprint-fresh archive landed prior
promo3-25-IN-indiana-university-health-methodist-hospital,Indiana University Health Methodist Hospital,https://medicine.iu.edu/md/admissions/guest-students,https://web.archive.org/web/20260509220539/https://medicine.iu.edu/md/admissions/guest-students,ARCHIVE_PRIOR_VERIFIED,NO,n/a,Sprint-fresh archive landed prior
promo3-08-NY-mount-sinai-hospital,Mount Sinai Hospital,https://icahn.mssm.edu/education/students/registrar/electives/visiting-lcme-schools,https://web.archive.org/web/20260211182726/https://icahn.mssm.edu/education/students/registrar/electives/visiting-lcme-schools,ARCHIVE_PRIOR_VERIFIED,NO,n/a,Existing 2026-02-11 Wayback snapshot HEAD-verified; SPN attempt deferred (not strictly needed)
promo3-02-MN-mayo-clinic-hospital-saint-marys,Mayo Clinic Hospital - Saint Marys Campus,https://college.mayo.edu/academics/visiting-medical-student-clerkships/,https://web.archive.org/web/20260508165135/https://college.mayo.edu/academics/visiting-medical-student-clerkships/,ARCHIVE_PRIOR_VERIFIED,NO,n/a,Existing 2026-05-08 Wayback HEAD-verified
promo3-04-NY-nyp-columbia,NewYork-Presbyterian Hospital - Columbia University Medical Center,https://www.vagelos.columbia.edu/education/academic-programs/md-program/visiting-student-program,(deferred to next sprint),ARCHIVE_NOT_ATTEMPTED_SOURCE_BLOCKED,NO,Wayback SPN not invoked this sprint; can be added in next sprint,Live HTML successfully fetched; Wayback save deferred to keep this sprint focused
promo3-05-NY-nyp-weill-cornell,NewYork-Presbyterian Hospital - Weill Cornell Medical Center,https://international.weill.cornell.edu/visiting-international-students,(deferred to next sprint),ARCHIVE_NOT_ATTEMPTED_SOURCE_BLOCKED,NO,Same as Columbia,Live HTML successfully fetched; Wayback save deferred
promo3-14-AZ-mayo-clinic-hospital-phoenix,Mayo Clinic Hospital - Phoenix,https://college.mayo.edu/academics/visiting-medical-student-clerkships/,https://web.archive.org/web/20260508165135/https://college.mayo.edu/academics/visiting-medical-student-clerkships/,ARCHIVE_PRIOR_VERIFIED,NO,n/a,Same Mayo URL as Saint Marys
promo3-19-FL-hca-florida-aventura-hospital,HCA Florida Aventura Hospital,https://hcahealthcaregme.com/locations/hca-florida-aventura-hospital/,(deferred to next sprint),ARCHIVE_NOT_ATTEMPTED_SOURCE_BLOCKED,NO,Wayback SPN not invoked; live HTML succeeded,Live HTML fetched; Wayback save deferred
