reviewId,sourceQueueId,runId,institutionId,institutionName,state,city,sourceUrl,sourceScope,deepSourceFamily,visibilityLane,confidence,priorityScore,priorityReasons,quote,warnings,proposedOpportunityName,proposedOpportunityType,proposedAudience,proposedCampus,reviewerDecision,decisionReason,campusApplicabilityProof,approvedOpportunityRowId,duplicateOfRowId,reviewer,reviewedAt,notes
rev_0001,hm-conflict-4,p102-1-trial-2-run-1,inst_houston_methodist_hospital_tx,Houston Methodist Hospital,TX,Houston,https://houstonmethodist.org/observership,INSTITUTION_SPECIFIC,EXTERNSHIP,HUMAN_REVIEW_REQUIRED,HIGH,18,+6 tier_1_family=EXTERNSHIP | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane,"Submit the following via email to Kathryn N. Pidcock, PharmD, BCPS at knpidcock@houstonmethodist.org",,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0002,hm-conflict-5,p102-1-trial-2-run-1,inst_houston_methodist_hospital_tx,Houston Methodist Hospital,TX,Houston,https://houstonmethodist.org/observership,INSTITUTION_SPECIFIC,EXTERNSHIP,HUMAN_REVIEW_REQUIRED,HIGH,18,+6 tier_1_family=EXTERNSHIP | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane,"The Pharmacy Student Summer Externship Program at Houston Methodist Hospital is a six-week, non-compensated, hands-on experience",,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0003,hm-a2-2,p102-1-trial-2-run-1,inst_houston_methodist_hospital_tx,Houston Methodist Hospital,TX,Houston,https://houstonmethodist.org/observership,INSTITUTION_SPECIFIC,EXTERNSHIP,HUMAN_REVIEW_REQUIRED,HIGH,18,+6 tier_1_family=EXTERNSHIP | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane,"To apply for the Pharmacy Student Summer Externship Program:Submit the following via email to Kathryn N. Pidcock, PharmD, BCPS at knpidcock@houstonmethodist.org1. Letter of Intent – including your reasons to pursue the externship program and career goals2. Curriculum Vitae",,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0004,hm-a2-5,p102-1-trial-2-run-1,inst_houston_methodist_hospital_tx,Houston Methodist Hospital,TX,Houston,https://houstonmethodist.org/observership,INSTITUTION_SPECIFIC,EXTERNSHIP,HUMAN_REVIEW_REQUIRED,HIGH,18,+6 tier_1_family=EXTERNSHIP | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane,"Paperwork required once selected:
The Houston Methodist Hospital Education Institute application, Department of Pharmacy application and tobacco screening.",,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0005,emory_dom_scope_mismatch,p102-pc-10-emory,inst_emory_university_hospital_ga,Emory University Hospital,GA,Atlanta,https://med.emory.edu/medicine/international,INSTITUTION_SPECIFIC,MEDICAL_EDUCATION,HUMAN_REVIEW_REQUIRED,HIGH,18,+6 tier_1_family=MEDICAL_EDUCATION | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane,Department of Medicine | Emory School of Medicine,,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0006,hmh-pharm-6,p102-pc-6-houston-methodist-deep,inst_houston_methodist_hospital_tx_deep,Houston Methodist Hospital,TX,Houston,https://houstonmethodist.org/observership,INSTITUTION_SPECIFIC,EXTERNSHIP,HUMAN_REVIEW_REQUIRED,HIGH,18,+6 tier_1_family=EXTERNSHIP | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane,"Submit the following via email to Kathryn N. Pidcock, PharmD, BCPS at knpidcock@houstonmethodist.org",,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0007,hmh-pharm-conflict-1,p102-pc-6-houston-methodist-deep,inst_houston_methodist_hospital_tx_deep,Houston Methodist Hospital,TX,Houston,https://houstonmethodist.org/observership,INSTITUTION_SPECIFIC,EXTERNSHIP,HUMAN_REVIEW_REQUIRED,HIGH,18,+6 tier_1_family=EXTERNSHIP | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane,Pharmacy Student Externship | Houston Methodist,,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0008,hm-conflict-1,p102-1-trial-2-run-1,inst_houston_methodist_hospital_tx,Houston Methodist Hospital,TX,Houston,https://houstonmethodist.org/observership,INSTITUTION_SPECIFIC,EXTERNSHIP,HUMAN_REVIEW_REQUIRED,HIGH,16,+6 tier_1_family=EXTERNSHIP | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane | -2 warnings=1,"The Pharmacy Student Summer Externship Program at Houston Methodist Hospital is a six-week, non-compensated, hands-on experience designed to provide an introduction to hospital-based pharmacy for students enrolled in a Doctor of Pharmacy program who have completed their first or second year.","Pharmacy externship audience (P1/P2 PharmD), not medical students; URL path /observership is misleading.",,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0009,hm-conflict-2,p102-1-trial-2-run-1,inst_houston_methodist_hospital_tx,Houston Methodist Hospital,TX,Houston,https://houstonmethodist.org/observership,INSTITUTION_SPECIFIC,EXTERNSHIP,HUMAN_REVIEW_REQUIRED,HIGH,16,+6 tier_1_family=EXTERNSHIP | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 human_review_lane,The primary objective for this program is to provide P1 and P2 students with the opportunity to understand and experience the various aspects of institutional pharmacy.,,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0010,hm-conflict-3,p102-1-trial-2-run-1,inst_houston_methodist_hospital_tx,Houston Methodist Hospital,TX,Houston,https://houstonmethodist.org/observership,INSTITUTION_SPECIFIC,EXTERNSHIP,HUMAN_REVIEW_REQUIRED,HIGH,16,+6 tier_1_family=EXTERNSHIP | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 human_review_lane,"Dates of Externship:June 1 - July 10, 2026",,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0011,hm-a2-3,p102-1-trial-2-run-1,inst_houston_methodist_hospital_tx,Houston Methodist Hospital,TX,Houston,https://houstonmethodist.org/observership,INSTITUTION_SPECIFIC,EXTERNSHIP,HUMAN_REVIEW_REQUIRED,HIGH,16,+6 tier_1_family=EXTERNSHIP | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 human_review_lane,Number of positions available:Two,,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0012,hm-a2-4,p102-1-trial-2-run-1,inst_houston_methodist_hospital_tx,Houston Methodist Hospital,TX,Houston,https://houstonmethodist.org/observership,INSTITUTION_SPECIFIC,EXTERNSHIP,HUMAN_REVIEW_REQUIRED,HIGH,16,+6 tier_1_family=EXTERNSHIP | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 human_review_lane,Credit Hours Earned for Pharmacy College or Texas State Board of Pharmacy Hours:None,,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0013,c_ucsf_meded_careers_ucsf_only,p102-hy-7-meded-ucsf,inst_ucsf_school_of_medicine_ca,UCSF School of Medicine,CA,San Francisco,https://meded.ucsf.edu/careers,CAREERS_PORTAL,MEDICAL_EDUCATION,HUMAN_REVIEW_REQUIRED,HIGH,16,+6 tier_1_family=MEDICAL_EDUCATION | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane | -2 warnings=1,Please note that appointments are for current and graduated UCSF Medical Students only,"Restriction applies to advising appointments, not to a USCE program.",,,,,KEEP_HUMAN_REVIEW,,,,,,,
